knowledge,major
收益曲线,管理科学技术
预期价格,管理科学技术
剩余损失,管理科学技术
第一推动,自然辩证法
色数,数学
关节点,计算机科学技术
单码,计算机科学技术
管理信息系统,管理科学技术
尺度参数,数学
三维交互,计算机科学技术
自动启动,计算机科学技术
固定模,数学
顾客价值分析,管理科学技术
系统集成,管理科学技术
图形学,计算机科学技术
拟设,数学
测量方法,计算机科学技术
虚拟人,计算机科学技术
传质阻力,化学
过渡态理论,化学
王水,化学
氢负离子,化学
超强酸催化剂,化学
羟基化,化学
峰高,化学
阿伦尼乌斯方程,化学
体缺陷,化学
八面沸石,化学
内扩散,化学
离子水合,化学
电子转移反应,化学
氧化物催化剂,化学
成型催化剂,化学
氧化脱氢,化学
活性组分,化学
液相反应,化学
洗出液,化学
速控步,化学
费米能级,化学
干燥器,化学
流化速度,机械工程
结晶度,化学
固相反应,化学
化学计量,化学
分子轨道理论,化学
试剂,化学
紧密层,化学
逸出功,化学
化学活性,化学
离子源,化学
多酸,化学
中心原子,化学
空轨道,化学
汽车尾气催化剂,化学
电解液,机械工程
表观活化能,化学
电子组态,化学
符合,化学
羟联,化学
纳米管,化学
溶胶-凝胶法,化学
比表面,化学
积炭,机械工程
放大效应,化学
置换反应,化学
离子化,化学
表面分析,化学
配位场,化学
水合能,化学
真空干燥,机械工程
杂多酸,化学
反应速率方程,化学
扩散效应,机械工程
扩散限制,化学
过渡金属催化剂,化学
催化剂稳定性,化学
等电点,化学
氧电极,化学
红外光谱,化学
一元酸,化学
表面偏析,化学
硫化剂,化学
脱硫,化学
体积法,化学
缓冲剂,机械工程
光散射,化学
发光材料,化学
环氧化,化学
配位场理论,化学
负载,机械工程
碱金属,化学
多相反应,化学
贵金属,化学
配位化合物,化学
动力学控制,化学
真空度,机械工程
非晶态催化剂,化学
配位数,化学
热分解,化学
氢正离子,化学
促进硫化,化学
实验设计,化学
脱附,化学
多元酸,化学
基元反应步骤,化学
酶催化剂,化学
析铁,机械工程
酸解,化学
裂解反应,化学
烘箱,化学
胶凝作用,化学
涂膜,机械工程
石墨,化学
酸碱催化,化学
热效应,化学
微波干燥,机械工程
热化学,化学
气凝胶,化学
制备条件,化学
吸附中心,化学
催化转化,化学
控制结构,数学
升温速率,化学
仪器分析,化学
离子取代,化学
内能,化学
过渡态,化学
配体交换,化学
过酸,化学
老化,化学
摇杆,机械工程
碱性氧化物,化学
pH试纸,化学
复分解,化学
连串反应,化学
去气,机械工程
非解离吸附,化学
烷基化,化学
烷基化反应,化学
标准电池,机械工程
化学镀,化学
结构敏感反应,化学
固定床反应器,化学
四氢呋喃,化学
解离机理,化学
磷化,化学
吉布斯自由能,化学
平衡处理,化学
高选,机械工程
均相反应,化学
热力学分析,化学
无机聚合物,化学
水热法,化学
面缺陷,化学
表面富集,化学
电子衍射,化学
组合设计,数学
纳米材料,化学
电极电势,化学
吸附活化能,化学
复合氧化物催化剂,化学
热力学平衡,化学
价键理论,化学
直接反应,化学
非晶态合金催化剂,化学
硼氢化,化学
活性物种,化学
络合剂,化学
热力学控制,化学
催化剂表征,化学
链引发,化学
量子效应,化学
催化剂活化,化学
脱卤化氢,化学
糖醇,化学
诱导期,化学
水热处理,化学
下降深度,机械工程
空速,化学
聚沉,化学
副族,化学
N型半导体,机械工程
纳米粒子,化学
筛孔径,机械工程
表面能,化学
去溶剂化,化学
理论化学,化学
浸渍,化学
合成气,化学
临界浓度,化学
包藏,化学
元素周期表,化学
扩孔,机械工程
强电解质,化学
电子结构,化学
填装,数学
碰撞理论,化学
造孔剂,化学
解离吸附,化学
固体酸催化剂,化学
氧桥,化学
吸附剂,化学
解离能,化学
电子能级,化学
冷轧,化学
离子键,化学
烯反应,化学
恒温水槽,机械工程
组成水,化学
饱和溶液,化学
选择加氢,化学
离子反应,化学
催化重整,化学
吸附物,化学
晶格能,化学
锐钛矿,化学
酸催化剂,化学
比活性,化学
离子溶剂化,化学
水的离子积,化学
结合水,机械工程
化学平衡,化学
氧化态,化学
协同效应,化学
活性中心,化学
氢电极,化学
非增,数学
助剂,化学
氧化型催化剂,机械工程
非水溶剂,化学
离子束,化学
表面扩散,化学
烯酮,化学
子覆盖,数学
指前因子,化学
中间体,化学
聚乙烯醇,化学
芳构化,化学
骨架催化剂,化学
不平衡,化学
滴定,机械工程
合金催化剂,化学
反应速率常数,化学
无机酸,化学
溶剂热法,化学
酸催化,化学
扩散控制,化学
超温,机械工程
双电层,化学
离子半径,化学
后硫化,化学
氢解,化学
陈化,化学
还原性气氛,机械工程
晶核,化学
加成反应,化学
结晶水,化学
基元步骤,化学
固溶体,化学
晶棱,化学
复合氧化物,化学
静电作用,化学
稀溶液,机械工程
缔合机理,化学
氧联,化学
结构稳定性,数学
苯并噻吩,化学
微型反应器,化学
本征反应动力学,化学
自发反应,化学
催化剂制备,化学
时空收率,化学
吸附速率,化学
硫化物催化剂,化学
能带理论,化学
选择氧化,化学
活性种,化学
电沉积,化学
褐铁矿,化学
水蒸气重整,化学
卤化物,化学
水合离子,化学
羰基化,化学
离子电荷,化学
P型半导体,机械工程
平行反应,化学
助表面活性剂,化学
电化学合成,化学
碱土金属,化学
反应热,化学
水合焓,化学
表面物种,化学
电离常数,化学
异构体,化学
双层,物理学
中修,管理科学技术
膨胀,物理学
疏水作用,化学
双键,化学
主轴,物理学
两亲分子,化学
直链淀粉,化学
电动势,化学
激活电子,物理学
放能反应,物理学
支链淀粉,化学
非金属,化学
电离,化学
吸能反应,物理学
生物催化剂,化学
植入,物理学
吸收光谱,物理学
核糖核酸,化学
联合运输,管理科学技术
体吸收,物理学
核反应,化学
渗透,物理学
组成单元,化学
价电子,化学
顺反异构体,化学
不稳定性,物理学
附着力,物理学
归纳论证,自然辩证法
求同法,自然辩证法
全称命题,自然辩证法
不完全归纳,自然辩证法
语义分析,自然辩证法
客观唯心主义,自然辩证法
逻辑方法,自然辩证法
常项,数学
符号语言,数学
蕴涵,数学
量词,数学
自然语言,自然辩证法
三资企业,管理科学技术
矛盾律,自然辩证法
排中律,数学
全称量词,数学
思维科学,自然辩证法
歧义性,自然辩证法
环论,数学
论证模式,自然辩证法
归纳推理,自然辩证法
同一律,自然辩证法
归谬法,自然辩证法
因果分析,自然辩证法
逻辑哲学论,自然辩证法
真值表,自然辩证法
相干性,机械工程
入射束,物理学
等厚线,物理学
光栅,机械工程
干涉显微镜,物理学
等厚条纹,物理学
内圈,机械工程
正晶体,物理学
点光源,物理学
反射光栅,物理学
图样,机械工程
一级光谱,物理学
虚像,物理学
刀尖,机械工程
形变,物理学
触点,机械工程
踏步,机械工程
牛顿环,机械工程
光学材料,机械工程
艾里斑,物理学
漫反射,物理学
真空蒸镀,机械工程
干涉级,物理学
反射膜,机械工程
偏振光,机械工程
物镜,物理学
上边缘,数学
谐音,物理学
等倾条纹,物理学
救护车,机械工程
鼓轮,机械工程
相长干涉,物理学
透射光栅,机械工程
椭圆偏振,物理学
超声,机械工程
工件,机械工程
结构分析,物理学
光具座,物理学
扫描电子显微镜,物理学
反射角,物理学
尼科耳棱镜,物理学
光学仪器,物理学
打击,机械工程
等厚干涉,物理学
等倾干涉,物理学
薄膜干涉,物理学
光心,物理学
消光,物理学
光轴,物理学
主折射率,物理学
泛音,物理学
最小分辨角,物理学
检偏器,物理学
相消干涉,物理学
菲涅耳积分,数学
缺级,物理学
分束镜,机械工程
十二面体,数学
标准误差,数学
均方根误差,数学
外形图,机械工程
压阻效应,机械工程
线性度,机械工程
量子光学,物理学
电动势,物理学
信噪比,物理学
焊接,机械工程
伏安特性曲线,物理学
照度计,物理学
湿度计,机械工程
生产线,机械工程
气体传感器,机械工程
智能传感器,机械工程
光电式传感器,机械工程
变送器,机械工程
角度传感器,机械工程
磁敏二极管,机械工程
功耗,机械工程
数字信号,机械工程
温度补偿,机械工程
数据采集,物理学
力传感器,机械工程
热敏元件,机械工程
近紫外,物理学
光敏元件,机械工程
多功能传感器,机械工程
磁敏晶体管,机械工程
系统的可靠性,机械工程
光电导效应,物理学
近红外,物理学
离子电导率,物理学
光敏电阻器,机械工程
探头,机械工程
碰撞电离,物理学
升温时间,机械工程
声压,机械工程
中间层,机械工程
输出信号,机械工程
模拟信号,机械工程
自动补偿,机械工程
制芯,机械工程
被测量,机械工程
测量范围,机械工程
原电池,机械工程
环境压力,机械工程
湿敏电阻器,机械工程
反型层,物理学
测量单元,机械工程
光电池,机械工程
氧化锡,物理学
氧化物半导体,物理学
自组织,物理学
热电阻,机械工程
电容式传感器,机械工程
晶轴,物理学
热敏电阻,机械工程
补偿器,数学
电极,物理学
微结构,物理学
塞贝克效应,机械工程
集成传感器,机械工程
电化学式传感器,机械工程
角加速度传感器,机械工程
电中性,物理学
信号检测,数学
起电,物理学
电桥,物理学
退磁,机械工程
自诊断,机械工程
光谱范围,机械工程
检测器,机械工程
掺杂,机械工程
热平衡条件,物理学
声学,物理学
霍尔效应,机械工程
检测,物理学
公差,数学
图像传感器,机械工程
露点传感器,机械工程
生物传感器,机械工程
散光,物理学
光学设计,物理学
载流子注入,物理学
面积,物理学
惠斯通电桥,机械工程
产品知识,管理科学技术
生涯咨询,心理学
职位分类,管理科学技术
容忍不确定性,管理科学技术
行政能力,管理科学技术
临床心理学,心理学
重要他人,心理学
管理技能,管理科学技术
职业环境,管理科学技术
科学分类,自然辩证法
能力倾向,心理学
半结构化面试,管理科学技术
滚动预测,管理科学技术
职业心理学,心理学
三段论,心理学
承诺升级,管理科学技术
业主单位,管理科学技术
范式,数学
部分解释,自然辩证法
可靠性,数学
物理解,数学
经验真理,自然辩证法
基本命题,自然辩证法
经验论,自然辩证法
纯粹数学,数学
先天综合判断,自然辩证法
知识的基础,自然辩证法
分析哲学,自然辩证法
理性心理学,自然辩证法
假值,数学
心物二元论,自然辩证法
物质观,自然辩证法
单子论,自然辩证法
唯理论,自然辩证法
二律背反,自然辩证法
经验命题,自然辩证法
广延,自然辩证法
知识的确定性,自然辩证法
扫除,数学
目的性,自然辩证法
真假值,数学
经验事实,自然辩证法
信息结构,计算机科学技术
翻译程序,计算机科学技术
推导,计算机科学技术
系统部件,管理科学技术
边沿,计算机科学技术
可重用性,管理科学技术
单向传递,管理科学技术
反馈,计算机科学技术
流程控制,管理科学技术
目标程序,计算机科学技术
完整性,计算机科学技术
子对象,数学
解释程序,计算机科学技术
面向对象的设计,计算机科学技术
数据封装,计算机科学技术
指令,计算机科学技术
累加器,计算机科学技术
汉字编码方案,计算机科学技术
舍入,数学
自动机,数学
对象图,计算机科学技术
构件,计算机科学技术
数据转换,计算机科学技术
系统目录,计算机科学技术
数值信息,数学
逻辑结构,计算机科学技术
授权,计算机科学技术
辅助存储器,计算机科学技术
强稳定性,数学
需求分析,计算机科学技术
传输函数,计算机科学技术
智能仪表,计算机科学技术
中断机制,计算机科学技术
接口标准,管理科学技术
专用计算机,计算机科学技术
互联网电视,计算机科学技术
只读存储器,计算机科学技术
随机存储器,计算机科学技术
静态分配,计算机科学技术
程序检测,计算机科学技术
流水线,计算机科学技术
数据管理,计算机科学技术
嵌入式软件,计算机科学技术
嵌入式操作系统,计算机科学技术
开放源码,计算机科学技术
光存储器,计算机科学技术
分裂格,数学
李群,数学
四根,自然辩证法
原始农业,自然辩证法
天人感应,自然辩证法
外设计,管理科学技术
环境变量,管理科学技术
事件处理,计算机科学技术
系统启动,计算机科学技术
允许方法,计算机科学技术
布尔表达式,计算机科学技术
监听接口,计算机科学技术
信息,计算机科学技术
相关方法,数学
一元运算,数学
观察者模式,计算机科学技术
图形库,计算机科学技术
信息系统,计算机科学技术
公寓,建筑学
塔楼,建筑学
叶饰,建筑学
卷涡,建筑学
市政厅,建筑学
法庭,建筑学
巴西利卡,建筑学
中殿,建筑学
檐部,建筑学
侧廊,建筑学
景观,建筑学
腰线,建筑学
尖塔,建筑学
照明,建筑学
国际式,建筑学
抑制,建筑学
门框,建筑学
字体,建筑学
法院,建筑学
巴洛克建筑,建筑学
图形符号,建筑学
折射,建筑学
沙龙,建筑学
画廊,建筑学
损坏,建筑学
桅杆,建筑学
文艺复兴建筑,建筑学
冷色,建筑学
楼梯,建筑学
建筑创作,建筑学
庙宇,建筑学
漫游,建筑学
浸浴,医学
处女膜闭锁,医学
松弛,医学
阴道狭窄,医学
尿急,医学
软件复用,计算机科学技术
协作图,管理科学技术
软件体系结构,计算机科学技术
瀑布模型,管理科学技术
迭代模型,计算机科学技术
监理,管理科学技术
包图,管理科学技术
纠正措施,管理科学技术
办公自动化,管理科学技术
管理信息,管理科学技术
用例图,管理科学技术
领域工程,计算机科学技术
系统建模,数学
过程改进,计算机科学技术
扩展点,计算机科学技术
软件外包,计算机科学技术
质量手册,管理科学技术
软件能力成熟度模型,管理科学技术
多层结构,计算机科学技术
自动编码,数学
分拆,管理科学技术
人机工程,计算机科学技术
接口定义语言,计算机科学技术
变更控制,管理科学技术
管理培训,管理科学技术
原型系统,管理科学技术
系统目标,管理科学技术
软件质量,计算机科学技术
对象请求代理,计算机科学技术
安全审计,计算机科学技术
正向工程,管理科学技术
配置图,管理科学技术
单件模式,计算机科学技术
前集,计算机科学技术
远程服务,管理科学技术
简单对象访问协议,计算机科学技术
过程模型,管理科学技术
面向服务的体系结构,计算机科学技术
领域分析,计算机科学技术
极限编程,计算机科学技术
外部质量,计算机科学技术
团队软件过程,计算机科学技术
过程实施,管理科学技术
差错率,数学
需求工程,计算机科学技术
动态模型,管理科学技术
软件过程工程,计算机科学技术
过程评估,计算机科学技术
分布对象,计算机科学技术
构件图,计算机科学技术
软件生存周期,计算机科学技术
软件评估,计算机科学技术
用户文档,计算机科学技术
面向对象设计,管理科学技术
对象图,管理科学技术
设计自动化,计算机科学技术
过程方法,管理科学技术
计算机应用,计算机科学技术
序列图,计算机科学技术
质量管理体系,管理科学技术
用户手册,计算机科学技术
面向对象的分析,计算机科学技术
管理支持,管理科学技术
逆向工程,管理科学技术
面向对象分析,管理科学技术
面向对象的分析与设计,计算机科学技术
恶意收购,管理科学技术
可交付成果,管理科学技术
数据库设计工具,计算机科学技术
测试覆盖率,计算机科学技术
标准过程,数学
自适应性,管理科学技术
安全测试,计算机科学技术
软件质量保证,计算机科学技术
质量计划,管理科学技术
质量属性,计算机科学技术
软件工程环境,计算机科学技术
白盒测试,管理科学技术
交互图,管理科学技术
过程评价,管理科学技术
个体软件过程,计算机科学技术
企业服务总线,计算机科学技术
返工,管理科学技术
项目编码,管理科学技术
过程维护,管理科学技术
实现阶段,计算机科学技术
面向对象方法,管理科学技术
应用集成,计算机科学技术
代码审查,计算机科学技术
维护阶段,计算机科学技术
软件开发方法,计算机科学技术
基于构件的软件工程,计算机科学技术
敏捷方法,计算机科学技术
软件工程方法学,计算机科学技术
合同管理,管理科学技术
配置项,计算机科学技术
可重复性,计算机科学技术
抽象机,计算机科学技术
配置管理,管理科学技术
人员分析,管理科学技术
集成自动化,计算机科学技术
适应性维护,计算机科学技术
关键过程域,计算机科学技术
集成测试,计算机科学技术
数据库管理员,管理科学技术
启动阶段,管理科学技术
认证系统,计算机科学技术
系统测试,管理科学技术
差错控制,计算机科学技术
码字,数学
信道容量,数学
统一资源定位符,计算机科学技术
表示空间,数学
统一码,计算机科学技术
数据通信,数学
网络体系结构,计算机科学技术
立体声,计算机科学技术
运算器,计算机科学技术
量子计算机,计算机科学技术
参照完整性,计算机科学技术
图像标签,计算机科学技术
无线接入点,计算机科学技术
磁盘操作系统,计算机科学技术
访问控制列表,计算机科学技术
逐帧动画,计算机科学技术
信息阶段,管理科学技术
压缩标准,管理科学技术
服务管理,计算机科学技术
视频卡,计算机科学技术
算术移位,计算机科学技术
存储器层次,计算机科学技术
产品展示,管理科学技术
关键帧,计算机科学技术
计算机辅助教学,计算机科学技术
实体完整性,计算机科学技术
扬声器,计算机科学技术
汉字信息处理,计算机科学技术
基础设施,计算机科学技术
不可抵赖,计算机科学技术
相对地址,计算机科学技术
对称加密技术,计算机科学技术
分组编码,数学
分布式数据库,计算机科学技术
存取方法,计算机科学技术
数据源,计算机科学技术
陷门,数学
互联网协议,计算机科学技术
计算机辅助制造,计算机科学技术
网络互联,计算机科学技术
系统设计,计算机科学技术
机密性,管理科学技术
声卡,计算机科学技术
公开密钥,数学
光纤分布式数据接口,计算机科学技术
原子性,计算机科学技术
采样频率,计算机科学技术
异常检测,计算机科学技术
网络适配器,计算机科学技术
计算机辅助测试,计算机科学技术
病毒攻击,计算机科学技术
截断误差,计算机科学技术
分布式操作系统,计算机科学技术
搜索引擎,计算机科学技术
网络操作系统,计算机科学技术
数据清单,计算机科学技术
标记语言,计算机科学技术
处理器管理,计算机科学技术
自然景物,计算机科学技术
多道程序,计算机科学技术
计算机动画,计算机科学技术
错误控制,计算机科学技术
协议数据单元,计算机科学技术
网络接口卡,计算机科学技术
信息检索,计算机科学技术
数据录入,管理科学技术
作业管理,管理科学技术
基本输入输出系统,计算机科学技术
综合业务数字网,计算机科学技术
通用操作系统,计算机科学技术
选择函数,数学
生物计算机,计算机科学技术
图像压缩,数学
集中控制,数学
网状模型,管理科学技术
汉字输入码,计算机科学技术
地址格式,计算机科学技术
链路加密,计算机科学技术
技术培训,管理科学技术
宏指令,计算机科学技术
计算机辅助设计,计算机科学技术
计算机管理,计算机科学技术
数据加密,数学
普适计算,计算机科学技术
物资管理,管理科学技术
移码,计算机科学技术
快速原型法,计算机科学技术
奇偶校验,数学
汉字机内码,计算机科学技术
量子位,计算机科学技术
混合加密,计算机科学技术
复结构,数学
色深度,计算机科学技术
Flash动画,计算机科学技术
应用层网关,计算机科学技术
国家信息基础设施,管理科学技术
OSI参考模型,计算机科学技术
密码体制,计算机科学技术
计算机集成制造,计算机科学技术
非对称数字用户线,计算机科学技术
大型计算机,计算机科学技术
几何模型,管理科学技术
信息管理,计算机科学技术
开放系统,计算机科学技术
不可否认性,管理科学技术
第一代计算机,计算机科学技术
单位表示,数学
系统分析员,计算机科学技术
常表示,数学
逻辑地址,计算机科学技术
数字签名,计算机科学技术
喷墨打印机,计算机科学技术
编码效率,计算机科学技术
完整性约束,计算机科学技术
网络管理员,计算机科学技术
企业内部网,计算机科学技术
分时操作系统,计算机科学技术
嗅探器,计算机科学技术
入侵检测系统,计算机科学技术
系统功能,计算机科学技术
系统安装,计算机科学技术
操作码,计算机科学技术
图形字符,计算机科学技术
机器指令,计算机科学技术
可理解性,计算机科学技术
技术风格,自然辩证法
组合学,数学
阻尼,机械工程
关联图,管理科学技术
电机,机械工程
平点,数学
贴现,管理科学技术
分贝,机械工程
全新产品,管理科学技术
螺丝刀,机械工程
激光打印机,机械工程
设定点,机械工程
目标值,数学
非正式沟通,管理科学技术
加工中心,机械工程
项目组合,管理科学技术
气动螺丝刀,机械工程
曲轴箱,机械工程
插值,数学
插座,机械工程
进度计划,管理科学技术
电动工具,机械工程
履带,机械工程
插口,机械工程
卡扣,机械工程
运行绩效,管理科学技术
解析性,数学
成本模型,管理科学技术
卡环,机械工程
倒圆,机械工程
调整机构,机械工程
黏土,机械工程
压铸机,机械工程
装配精度,机械工程
挺杆,机械工程
灵敏度分析,管理科学技术
度盘,机械工程
淋雨试验,机械工程
搜索方向,数学
关联矩阵,数学
研发项目,管理科学技术
行走机构,机械工程
切削液,机械工程
召回,机械工程
决策矩阵,管理科学技术
萃智,管理科学技术
风轮,机械工程
成品,机械工程
夹具,机械工程
焦点小组访谈,管理科学技术
后续工作,管理科学技术
销售潜力,管理科学技术
计算机辅助工程,管理科学技术
跨职能团队,管理科学技术
耐久性,机械工程
料袋,机械工程
使命陈述,管理科学技术
激光切割机,机械工程
凸轮,机械工程
偏差范围,管理科学技术
推杆,机械工程
刀片,机械工程
塑料模,机械工程
电动螺丝刀,机械工程
观察窗,机械工程
工作台,机械工程
材料费,管理科学技术
概念选择,管理科学技术
滑动开关,机械工程
螺栓,机械工程
油缸,机械工程
目标成本,管理科学技术
气缸,机械工程
模具,机械工程
复杂产品,管理科学技术
简单流,数学
碰撞试验,机械工程
水性涂料,机械工程
进气道,机械工程
内螺纹,机械工程
滚筒,机械工程
面板,机械工程
划规,机械工程
流程改进,管理科学技术
机会识别,管理科学技术
环境可持续性,管理科学技术
焊剂,机械工程
重要度,机械工程
倒角,机械工程
油漆,机械工程
液压缸,机械工程
理想的范,数学
机动,机械工程
正压通风,机械工程
吸嘴,机械工程
电钻,机械工程
老化失效,机械工程
导轮,机械工程
次连续性,数学
棘爪,机械工程
构件,机械工程
铸件,机械工程
摆杆,机械工程
扳手,机械工程
领先用户,管理科学技术
进气歧管,机械工程
项目合同,管理科学技术
风险事件,管理科学技术
气动工具,机械工程
网络社区,管理科学技术
悬臂,机械工程
比较值,机械工程
点烟器,机械工程
综合计划,管理科学技术
气弹簧,机械工程
可行解,管理科学技术
插槽,机械工程
蓄电池,机械工程
绩效指标,管理科学技术
日常维护,机械工程
冰箱,机械工程
棘轮,机械工程
物料清单,管理科学技术
工艺装备,机械工程
甘特图,管理科学技术
挖掘机,机械工程
压盘,机械工程
射钉枪,机械工程
监视,机械工程
有效载荷,机械工程
有效工作时间,机械工程
控制图,数学
轴承,机械工程
连接器,机械工程
外购件,管理科学技术
迭代循环,数学
压力铸造,机械工程
高压油管,机械工程
门锁,机械工程
密封腔,机械工程
划伤,机械工程
研发预算,管理科学技术
设计评审,机械工程
必要功能,管理科学技术
砂轮,机械工程
上型,机械工程
归档,管理科学技术
精密锻造,机械工程
转台,机械工程
挡块,机械工程
市场进入,管理科学技术
车架,机械工程
计量,机械工程
讽喻,语言学
熟语,语言学
金文,语言学
原型,语言学
土族语,语言学
修辞格,语言学
同化,语言学
起兴,语言学
异化,语言学
方言词汇,语言学
比兴,语言学
文体,语言学
东乡语,语言学
社会语言学,语言学
撒拉语,语言学
喻体,语言学
管辖,语言学
古文,语言学
藏文,语言学
词根,语言学
莫拉,语言学
分布,语言学
本义,语言学
思想的语言,自然辩证法
复叠,语言学
前后比较,管理科学技术
炼句,语言学
子树,语言学
自然客体,自然辩证法
参差,语言学
借喻,语言学
语源,语言学
阿尔泰语系,语言学
古语词,语言学
标准语,语言学
专有名词,语言学
话语,语言学
预设,语言学
印欧语系,语言学
蒙古语族,语言学
语言接触,语言学
考证,语言学
灌溉农业,自然辩证法
符号学,语言学
百科全书,语言学
注释,语言学
曲解,语言学
藏语,语言学
汉语方言,语言学
集合名词,语言学
羌语,语言学
人类学研究,管理科学技术
甲骨文,语言学
谚语,语言学
少数民族语言,语言学
蒙古语,语言学
常用词汇,语言学
炼字,语言学
记号,语言学
感叹,语言学
字条,语言学
农业革命,地理学
运河,地理学
寄生植物,地理学
生物资源,地理学
实验操作,自然辩证法
空间竞争,地理学
生态区,地理学
地方感,地理学
群落生境,地理学
生态区域,地理学
盐土,地理学
统计模型,地理学
自然区,地理学
遥感技术,地理学
浅滩,地理学
自然保育,地理学
资源管理,地理学
水能,地理学
专题地图,地理学
水质,地理学
土著种,地理学
差异度,管理科学技术
海洋资源,地理学
地球资源卫星,地理学
图像识别,地理学
保护,地理学
冰期,地理学
遥感信息,地理学
海滩岩,地理学
对话场,管理科学技术
压力源,管理科学技术
外来种,地理学
遥感,地理学
区划,地理学
范围图,地理学
海峡,地理学
潮间带,地理学
遥感影像,地理学
全球定位系统,管理科学技术
相对位置,地理学
海洋动物,地理学
科学文献,自然辩证法
数字高程模型,地理学
环礁,地理学
廉价出售,管理科学技术
残遗种,地理学
近红外,地理学
单因素实验,自然辩证法
互惠共生,地理学
系统方法,管理科学技术
共生,地理学
环境地图,地理学
湿地保护,地理学
附生植物,地理学
驯化,地理学
河口,地理学
行业自律,管理科学技术
信托基金,管理科学技术
基因工程,计算机科学技术
非公募基金会,管理科学技术
绿色创新,管理科学技术
软科学,管理科学技术
创新网络,管理科学技术
项目评估,管理科学技术
硬科学,自然辩证法
金融创新,管理科学技术
公募,管理科学技术
民办非企业单位,管理科学技术
公益创投,管理科学技术
技能知识,管理科学技术
工艺创新,管理科学技术
创新型组织,管理科学技术
认知科学,自然辩证法
风险资本,管理科学技术
科层制,自然辩证法
志愿失灵,管理科学技术
物业管理,管理科学技术
环境政策,自然辩证法
新公共行政,管理科学技术
草根组织,管理科学技术
商业银行,管理科学技术
全球营销,管理科学技术
空间关系,计算机科学技术
虚拟社会,计算机科学技术
努斯,自然辩证法
营运能力,管理科学技术
项目建议书,管理科学技术
投资主体,管理科学技术
品牌忠诚,管理科学技术
价格调整策略,管理科学技术
互动营销,管理科学技术
自营商,管理科学技术
整合营销传播,管理科学技术
情感诉求,管理科学技术
天天低价,管理科学技术
众数,数学
市场渗透,管理科学技术
人口细分,管理科学技术
多品牌策略,管理科学技术
逗留时间,数学
批量订货,管理科学技术
需求导向定价,管理科学技术
顾客感知价值,管理科学技术
附属产品定价,管理科学技术
概率抽样,数学
统一交货定价,管理科学技术
牺牲品定价,管理科学技术
目标营销,管理科学技术
社会营销观念,管理科学技术
社会营销,管理科学技术
定量预测,管理科学技术
一站式服务,管理科学技术
重复购买,管理科学技术
电子支付,管理科学技术
抽样误差,自然辩证法
诊断研究,管理科学技术
交互效应,数学
实验组,自然辩证法
正态性检验,数学
日心说,自然辩证法
统计表,数学
离群值,数学
优势比,数学
秩和检验,数学
第一类错误,管理科学技术
序贯实验,管理科学技术
系统误差,数学
随机分配,自然辩证法
方差齐性检验,数学
第二类错误,管理科学技术
地心说,自然辩证法
样本大小,管理科学技术
发电厂,建筑学
化学需氧量,农学
放射性废物,地理学
环境危害,农学
溶解氧,农学
红外线,建筑学
持久性有机污染物,地理学
废水处理,农学
海洋污染,地理学
空气污染,农学
生物需氧量,农学
生物积累,地理学
无机污染物,地理学
可再生资源,农学
杀虫剂,农学
畜牧场,建筑学
太阳能,农学
化粪池,建筑学
地热能,农学
挥发性有机化合物,建筑学
核设施,建筑学
烟草,农学
溶解氧,建筑学
臭氧,建筑学
太阳能,建筑学
固体废物,地理学
活性污泥,农学
村落,地理学
生物质能,农学
肺动脉高压,医学
头枕,机械工程
猝死,医学
内翻,医学
咽痛,医学
乙醚,医学
气功,医学
主动脉夹层,医学
动脉瘤,医学
吸收率,机械工程
抗原性,医学
免疫球蛋白A,医学
能容,机械工程
第三产程,医学
放气,机械工程
正中,医学
喉部,机械工程
尿路上皮,医学
气质,医学
桶状胸,医学
单纯疱疹,医学
恶性高血压,医学
胎肩,机械工程
肾母细胞瘤,医学
气管导管,医学
楼梯,机械工程
神经鞘瘤,医学
视角,医学
神经纤维瘤病,医学
出口平面,医学
刺痛,医学
产时,医学
内旋转,医学
入口平面,医学
恶性贫血,医学
卵原细胞,医学
脑萎缩,医学
外旋转,医学
功能锻炼,医学
胎盘娩出,医学
初乳,医学
免疫防御,医学
擦伤,医学
力臂,机械工程
脱位,医学
骨坏死,医学
宫缩乏力,医学
坐骨棘间径,医学
缺如,医学
消退,医学
套囊,医学
活化剂,机械工程
通道,机械工程
人工通气,医学
准备活动,医学
浅表性胃炎,医学
注视,医学
顽固性疼痛,医学
急进性高血压,医学
心脏增大,医学
肾梗死,医学
清洁剂,医学
慢性阻塞性肺疾病,医学
鼻塞,医学
脂肪瘤,医学
隐性感染,医学
溃疡,医学
平滑肌肉瘤,医学
着色剂,机械工程
牙菌斑,医学
心脏停搏,医学
气胸,医学
粥样斑块,医学
乏力,机械工程
栓塞,医学
出口横径,医学
巨细胞病毒,医学
支具,医学
仰伸,医学
苯并芘,机械工程
伤口,医学
体液免疫,医学
口臭,医学
残胃,医学
尿频,医学
骨肉瘤,医学
免疫活性细胞,医学
类癌综合征,医学
骨盆轴,医学
致敏淋巴细胞,医学
上皮化,医学
电机械分离,医学
凝固性坏死,医学
化生,医学
嗜酸性腺瘤,医学
喉罩,医学
蜕膜,医学
脑出血,医学
外翻,医学
皱皮,机械工程
坐骨结节间径,医学
侧方,医学
技术扩散,管理科学技术
